"";"Platform";"Year";"Genre";"Rating";"PublisherR";"Critic_Score";"Critic_Count";"Global_Sales"
"819";"PS3";"2014";"Racing";"E";"Other";62;19;0,41
"820";"X360";"2011";"Sports";"E";"Take-Two";84;54;0,41
"821";"PC";"2014";"Shooter";"M";"Activision";78;18;0,41
"822";"PS3";"2011";"Fighting";"T";"Other";75;51;0,41
"823";"X360";"2010";"Misc";"T";"Other";75;54;0,41
"824";"PSV";"2012";"Shooter";"M";"Other";60;63;0,41
"825";"X360";"2011";"Simulation";"E";"Other";66;11;0,41
"826";"PS3";"2010";"Fighting";"T";"Other";87;29;0,41
"827";"PC";"2011";"Shooter";"M";"Take-Two";54;48;0,41
"828";"X360";"2010";"Action";"T";"Other";43;51;0,4
"829";"Wii";"2010";"Sports";"E";"Electronic Arts";79;43;0,4
"830";"PS4";"2015";"Role-Playing";"T";"Namco";72;59;0,4
"831";"PS3";"2013";"Adventure";"M";"Other";93;4;0,4
"832";"Wii";"2011";"Misc";"E";"Other";59;12;0,4
"833";"PS3";"2012";"Action";"T";"Other";71;39;0,4
"834";"PC";"2013";"Sports";"E";"Electronic Arts";87;6;0,4
"835";"PSV";"2012";"Role-Playing";"T";"Other";66;21;0,4
"836";"X360";"2011";"Shooter";"T";"Other";77;60;0,4
"837";"PC";"2012";"Action";"E";"Electronic Arts";86;7;0,4
"838";"PC";"2010";"Action";"M";"Take-Two";77;46;0,4
"839";"3DS";"2012";"Action";"E10+";"Other";61;4;0,39
"840";"Wii";"2010";"Action";"M";"Other";84;68;0,39
"841";"Wii";"2011";"Sports";"E";"Namco";69;9;0,39
"842";"PS3";"2012";"Simulation";"T";"Namco";65;26;0,39
"843";"PC";"2010";"Role-Playing";"M";"Electronic Arts";94;55;0,39
"844";"PS3";"2010";"Action";"T";"Electronic Arts";38;27;0,39
"845";"3DS";"2012";"Role-Playing";"T";"Namco";70;53;0,39
"846";"PS3";"2010";"Sports";"E";"Electronic Arts";71;33;0,39
"847";"X360";"2010";"Sports";"E";"Electronic Arts";75;30;0,39
"848";"3DS";"2011";"Sports";"E";"Electronic Arts";49;18;0,39
"849";"PS3";"2012";"Action";"T";"Activision";77;32;0,39
"850";"X360";"2010";"Role-Playing";"M";"Other";63;68;0,39
"851";"3DS";"2011";"Strategy";"E10+";"Ubisoft";44;18;0,39
"852";"PS4";"2013";"Platform";"E10+";"Activision";79;7;0,39
"853";"PS3";"2010";"Action";"T";"Other";41;28;0,39
"854";"PS3";"2010";"Misc";"E";"Electronic Arts";64;11;0,39
"855";"X360";"2012";"Shooter";"M";"Take-Two";80;71;0,39
"856";"PS4";"2014";"Misc";"E10+";"Ubisoft";72;8;0,39
"857";"3DS";"2011";"Action";"T";"Other";61;30;0,39
"858";"3DS";"2013";"Action";"T";"Namco";75;5;0,39
"859";"X360";"2010";"Sports";"E";"Electronic Arts";68;21;0,39
"860";"X360";"2011";"Shooter";"M";"Other";71;74;0,39
"861";"PS3";"2011";"Role-Playing";"T";"Other";71;52;0,39
"862";"X360";"2013";"Simulation";"E";"Other";33;12;0,38
"863";"3DS";"2011";"Role-Playing";"T";"Other";78;27;0,38
"864";"PS4";"2015";"Misc";"T";"Other";78;51;0,38
"865";"3DS";"2012";"Action";"M";"Other";78;46;0,38
"866";"PC";"2011";"Action";"M";"Other";84;22;0,38
"867";"PS3";"2010";"Sports";"E";"Other";73;4;0,38
"868";"3DS";"2011";"Sports";"E";"Other";73;43;0,38
"869";"PS3";"2013";"Misc";"E10+";"Ubisoft";77;6;0,38
"870";"PS3";"2013";"Racing";"E";"Other";82;20;0,37
"871";"PC";"2010";"Racing";"E10+";"Electronic Arts";86;14;0,37
"872";"PS3";"2010";"Fighting";"T";"Electronic Arts";77;47;0,37
"873";"PS3";"2013";"Sports";"E";"Electronic Arts";74;28;0,37
"874";"PC";"2011";"Shooter";"M";"Other";79;32;0,37
"875";"3DS";"2014";"Misc";"T";"Other";83;52;0,37
"876";"X360";"2011";"Role-Playing";"T";"Other";72;55;0,37
"877";"PC";"2011";"Action";"T";"Electronic Arts";69;18;0,36
"878";"PC";"2014";"Strategy";"E10+";"Take-Two";81;78;0,36
"879";"Wii";"2010";"Misc";"T";"Other";76;12;0,36
"880";"X360";"2010";"Action";"T";"Ubisoft";68;57;0,36
"881";"PSV";"2015";"Role-Playing";"T";"Namco";70;4;0,36
"882";"PS4";"2015";"Misc";"E10+";"Ubisoft";73;10;0,36
"883";"X360";"2010";"Action";"T";"Activision";76;68;0,36
"884";"3DS";"2014";"Role-Playing";"E10+";"Other";57;25;0,36
"885";"PSV";"2013";"Role-Playing";"T";"Other";78;15;0,35
"886";"PSV";"2012";"Racing";"E10+";"Other";79;63;0,35
"887";"PS3";"2013";"Shooter";"M";"Other";69;28;0,35
"888";"PC";"2014";"Action";"M";"Other";84;17;0,35
"889";"X360";"2013";"Sports";"E";"Electronic Arts";77;28;0,35
"890";"PS3";"2010";"Action";"T";"Other";59;50;0,35
"891";"PSV";"2013";"Action";"T";"Other";71;44;0,35
"892";"PC";"2015";"Simulation";"E";"Other";81;34;0,35
"893";"X360";"2010";"Fighting";"T";"Electronic Arts";79;63;0,35
"894";"PS3";"2013";"Shooter";"M";"Other";59;21;0,35
"895";"XOne";"2014";"Shooter";"M";"Other";63;12;0,35
"896";"Wii";"2011";"Sports";"E";"Electronic Arts";85;14;0,34
"897";"PS3";"2011";"Action";"T";"Activision";57;41;0,34
"898";"Wii";"2011";"Fighting";"T";"Other";74;6;0,34
"899";"X360";"2011";"Fighting";"T";"Other";75;64;0,34
"900";"X360";"2012";"Fighting";"T";"Namco";83;35;0,34
"901";"X360";"2010";"Strategy";"E10+";"Other";75;28;0,34
"902";"PS3";"2010";"Sports";"E";"Ubisoft";45;17;0,34
"903";"PC";"2013";"Strategy";"M";"Other";80;82;0,34
"904";"XOne";"2014";"Platform";"E10+";"Ubisoft";91;6;0,34
"905";"3DS";"2011";"Strategy";"T";"Ubisoft";77;49;0,34
"906";"PS3";"2010";"Shooter";"T";"Other";60;39;0,34
"907";"X360";"2011";"Action";"T";"Electronic Arts";44;31;0,33
"908";"X360";"2011";"Fighting";"T";"Other";79;31;0,33
"909";"PSV";"2012";"Action";"E10+";"Other";62;9;0,33
"910";"PS3";"2013";"Shooter";"M";"Other";52;15;0,33
"911";"PS3";"2010";"Sports";"T";"Activision";60;4;0,33
"912";"3DS";"2015";"Fighting";"T";"Namco";61;32;0,33
"913";"X360";"2010";"Role-Playing";"T";"Other";74;43;0,33
"914";"Wii";"2011";"Action";"T";"Electronic Arts";47;6;0,33
"915";"PC";"2012";"Action";"M";"Electronic Arts";55;30;0,33
"916";"PSV";"2013";"Misc";"M";"Other";80;55;0,33
"917";"Wii";"2010";"Misc";"T";"Other";65;5;0,33
"918";"PS3";"2012";"Action";"M";"Other";72;33;0,33
"919";"X360";"2010";"Sports";"E10+";"Other";26;16;0,33
"920";"Wii";"2011";"Adventure";"E";"Other";65;26;0,32
"921";"Wii";"2010";"Action";"T";"Other";41;11;0,32
"922";"PS3";"2010";"Misc";"T";"Other";75;25;0,32
"923";"3DS";"2015";"Misc";"E10+";"Other";80;32;0,32
"924";"XOne";"2015";"Misc";"E10+";"Ubisoft";66;10;0,32
"925";"PC";"2011";"Shooter";"M";"Electronic Arts";87;28;0,32
"926";"X360";"2011";"Misc";"T";"Ubisoft";66;17;0,32
"927";"PS3";"2013";"Action";"M";"Other";72;37;0,32
"928";"X360";"2012";"Action";"M";"Other";68;38;0,32
"929";"PS3";"2011";"Action";"M";"Other";72;31;0,32
"930";"XOne";"2015";"Fighting";"T";"Namco";67;18;0,32
"931";"X360";"2012";"Fighting";"M";"Other";76;39;0,32
"932";"PS3";"2011";"Action";"T";"Electronic Arts";43;21;0,32
"933";"PSV";"2014";"Misc";"T";"Other";81;8;0,32
"934";"PS3";"2011";"Shooter";"M";"Other";67;36;0,32
"935";"Wii";"2011";"Action";"E10+";"Namco";45;4;0,32
"936";"PS3";"2012";"Action";"M";"Other";70;33;0,32
"937";"PSV";"2015";"Misc";"T";"Other";76;51;0,32
"938";"PS4";"2014";"Action";"M";"Other";59;60;0,32
"939";"PS3";"2012";"Shooter";"M";"Take-Two";79;28;0,32
"940";"X360";"2010";"Sports";"T";"Activision";55;7;0,32
"941";"PC";"2011";"Role-Playing";"M";"Other";75;39;0,32
"942";"PS3";"2011";"Action";"E10+";"Other";63;13;0,32
"943";"PS3";"2011";"Sports";"E";"Other";50;12;0,32
"944";"PS3";"2012";"Racing";"E";"Other";61;27;0,32
"945";"X360";"2010";"Fighting";"T";"Other";85;32;0,31
"946";"PC";"2013";"Action";"T";"Other";74;17;0,31
"947";"PS3";"2013";"Role-Playing";"M";"Other";61;33;0,31
"948";"X360";"2011";"Adventure";"M";"Other";82;39;0,31
"949";"PC";"2010";"Strategy";"E10+";"Ubisoft";79;33;0,31
"950";"PS4";"2015";"Simulation";"T";"Other";76;17;0,31
"951";"3DS";"2013";"Adventure";"E10+";"Other";65;5;0,31
"952";"PS4";"2015";"Action";"E10+";"Activision";81;51;0,31
"953";"X360";"2010";"Action";"T";"Other";59;69;0,31
"954";"PS3";"2010";"Action";"T";"Namco";41;28;0,31
"955";"Wii";"2011";"Role-Playing";"T";"Other";73;48;0,31
"956";"X360";"2011";"Sports";"E";"Other";73;14;0,31
"957";"X360";"2012";"Sports";"E";"Other";82;33;0,31
"958";"X360";"2010";"Action";"T";"Other";58;51;0,31
"959";"PS3";"2014";"Fighting";"T";"Namco";54;32;0,31
"960";"X360";"2011";"Racing";"E";"Activision";62;24;0,3
"961";"PS3";"2013";"Fighting";"T";"Other";83;16;0,3
"962";"PC";"2012";"Role-Playing";"M";"Electronic Arts";81;25;0,3
"963";"PS3";"2011";"Fighting";"T";"Other";77;26;0,3
"964";"3DS";"2011";"Action";"T";"Ubisoft";53;32;0,3
"965";"X360";"2013";"Racing";"E";"Other";79;29;0,3
"966";"X360";"2011";"Fighting";"E10+";"Ubisoft";61;13;0,3
"967";"PSV";"2012";"Sports";"E";"Electronic Arts";63;6;0,3
"968";"PSV";"2014";"Role-Playing";"T";"Namco";67;28;0,3
"969";"PS3";"2012";"Fighting";"M";"Other";49;19;0,3
"970";"PSV";"2011";"Platform";"E10+";"Other";57;62;0,3
"971";"PS3";"2012";"Action";"E10+";"Other";70;52;0,29
"972";"X360";"2010";"Misc";"T";"Other";74;36;0,29
"973";"Wii";"2010";"Action";"E10+";"Electronic Arts";67;9;0,29
"974";"PSV";"2012";"Racing";"E";"Other";62;51;0,29
"975";"Wii";"2010";"Sports";"E";"Namco";60;9;0,29
"976";"PS3";"2010";"Shooter";"T";"Other";58;42;0,29
"977";"PSV";"2011";"Fighting";"T";"Other";80;48;0,29
"978";"X360";"2010";"Role-Playing";"M";"Other";67;60;0,29
"979";"PS4";"2015";"Action";"M";"Activision";60;11;0,29
"980";"PC";"2014";"Shooter";"M";"Take-Two";75;55;0,29
"981";"PS3";"2012";"Action";"T";"Other";77;71;0,29
"982";"3DS";"2012";"Action";"E";"Electronic Arts";68;4;0,29
"983";"3DS";"2014";"Action";"E";"Other";47;21;0,29
"984";"PS3";"2011";"Shooter";"M";"Ubisoft";45;42;0,29
"985";"PS3";"2013";"Strategy";"E";"Activision";49;6;0,29
"986";"XOne";"2014";"Action";"M";"Other";76;13;0,29
"987";"PS4";"2015";"Role-Playing";"T";"Other";80;43;0,29
"988";"Wii";"2010";"Action";"T";"Other";65;18;0,29
"989";"PC";"2011";"Shooter";"T";"Other";80;38;0,29
"990";"PS3";"2010";"Adventure";"T";"Namco";72;49;0,29
"991";"PC";"2014";"Sports";"E";"Electronic Arts";82;9;0,28
"992";"PS3";"2013";"Misc";"T";"Other";73;10;0,28
"993";"PSV";"2012";"Action";"E10+";"Other";54;8;0,28
"994";"X360";"2012";"Role-Playing";"T";"Other";61;70;0,28
"995";"X360";"2011";"Shooter";"M";"Other";69;64;0,28
"996";"X360";"2011";"Action";"T";"Activision";59;53;0,28
"997";"PS3";"2010";"Shooter";"M";"Namco";60;44;0,28
"998";"PS3";"2011";"Action";"T";"Other";78;46;0,28
"999";"PS3";"2010";"Sports";"E";"Activision";56;5;0,28
"1000";"X360";"2010";"Misc";"E";"Electronic Arts";66;18;0,28
"1001";"PS3";"2011";"Action";"E10+";"Other";61;41;0,28
"1002";"X360";"2011";"Sports";"E";"Other";55;14;0,28
"1003";"X360";"2013";"Strategy";"E";"Activision";59;3;0,28
"1004";"PS3";"2014";"Action";"T";"Namco";71;28;0,28
"1005";"PS3";"2013";"Shooter";"M";"Electronic Arts";58;27;0,28
"1006";"X360";"2013";"Racing";"E";"Other";78;51;0,27
"1007";"Wii";"2011";"Action";"E10+";"Electronic Arts";64;6;0,27
"1008";"PC";"2014";"Action";"M";"Other";68;18;0,27
"1009";"X360";"2011";"Action";"M";"Other";72;48;0,27
"1010";"X360";"2010";"Action";"T";"Other";41;35;0,27
"1011";"X360";"2012";"Racing";"E";"Other";64;33;0,27
"1012";"XOne";"2015";"Action";"E";"Electronic Arts";60;26;0,27
"1013";"XOne";"2014";"Action";"E10+";"Other";69;20;0,27
"1014";"X360";"2013";"Role-Playing";"T";"Other";69;21;0,27
"1015";"PS3";"2011";"Racing";"E";"Activision";62;16;0,27
"1016";"Wii";"2010";"Action";"T";"Activision";41;15;0,27
"1017";"Wii";"2010";"Sports";"E10+";"Take-Two";62;12;0,27
"1018";"3DS";"2013";"Action";"T";"Other";68;7;0,27
"1019";"PS3";"2011";"Action";"M";"Electronic Arts";77;56;0,27
"1020";"PC";"2010";"Strategy";"T";"Ubisoft";76;33;0,27
"1021";"3DS";"2014";"Action";"E";"Other";69;16;0,27
"1022";"PC";"2011";"Strategy";"T";"Other";78;46;0,27
"1023";"X360";"2010";"Strategy";"T";"Ubisoft";78;45;0,27
"1024";"X360";"2011";"Sports";"E";"Ubisoft";41;8;0,27
"1025";"X360";"2011";"Shooter";"M";"Ubisoft";47;62;0,27
"1026";"PS3";"2012";"Action";"M";"Activision";40;9;0,26
"1027";"X360";"2010";"Strategy";"E10+";"Other";89;27;0,26
"1028";"PS4";"2015";"Platform";"E";"Other";81;70;0,26
"1029";"X360";"2010";"Action";"M";"Other";68;39;0,26
"1030";"Wii";"2010";"Action";"E10+";"Other";49;6;0,26
"1031";"PS3";"2011";"Action";"E10+";"Ubisoft";59;27;0,26
"1032";"Wii";"2010";"Sports";"E";"Take-Two";53;4;0,26
"1033";"3DS";"2013";"Role-Playing";"T";"Other";80;41;0,26
"1034";"PS3";"2011";"Action";"T";"Other";64;11;0,26
"1035";"X360";"2012";"Action";"E";"Activision";63;13;0,26
"1036";"XOne";"2015";"Racing";"E";"Other";81;16;0,26
"1037";"PS3";"2012";"Role-Playing";"T";"Other";70;17;0,26
"1038";"X360";"2013";"Action";"M";"Other";75;30;0,26
"1039";"X360";"2010";"Sports";"E";"Activision";53;10;0,26
"1040";"PS3";"2012";"Action";"T";"Other";74;60;0,26
"1041";"X360";"2013";"Shooter";"M";"Electronic Arts";54;55;0,26
"1042";"PS3";"2013";"Platform";"E10+";"Other";80;75;0,26
"1043";"X360";"2012";"Role-Playing";"M";"Other";52;35;0,25
"1044";"PC";"2010";"Simulation";"T";"Ubisoft";62;26;0,25
"1045";"3DS";"2015";"Role-Playing";"E10+";"Other";67;31;0,25
"1046";"PC";"2011";"Action";"E10+";"Other";76;14;0,25
"1047";"PS3";"2011";"Action";"M";"Other";57;34;0,25
"1048";"PS3";"2010";"Action";"T";"Other";42;33;0,25
"1049";"PC";"2015";"Strategy";"E10+";"Ubisoft";72;45;0,25
"1050";"PS3";"2014";"Misc";"T";"Other";78;15;0,25
"1051";"PC";"2013";"Racing";"E10+";"Electronic Arts";76;16;0,25
"1052";"PS3";"2013";"Shooter";"M";"Take-Two";69;22;0,25
"1053";"X360";"2011";"Action";"T";"Activision";57;50;0,25
"1054";"PC";"2011";"Adventure";"M";"Take-Two";83;28;0,25
"1055";"PS3";"2010";"Misc";"E";"Other";56;17;0,25
"1056";"X360";"2012";"Action";"M";"Activision";39;28;0,25
"1057";"X360";"2012";"Action";"M";"Other";58;39;0,25
"1058";"Wii";"2010";"Action";"E";"Electronic Arts";62;7;0,25
"1059";"PS4";"2015";"Role-Playing";"T";"Namco";63;32;0,25
"1060";"XOne";"2015";"Racing";"E";"Other";64;13;0,25
"1061";"PSV";"2013";"Platform";"E10+";"Other";75;15;0,25
"1062";"PC";"2012";"Action";"M";"Other";79;26;0,24
"1063";"3DS";"2015";"Role-Playing";"T";"Other";79;32;0,24
"1064";"Wii";"2010";"Sports";"E";"Ubisoft";51;8;0,24
"1065";"XOne";"2014";"Racing";"E10+";"Ubisoft";80;28;0,24
"1066";"PS4";"2014";"Action";"M";"Other";57;40;0,24
"1067";"3DS";"2013";"Platform";"E10+";"Activision";68;12;0,24
"1068";"XOne";"2015";"Action";"E10+";"Activision";76;15;0,24
"1069";"PSV";"2012";"Action";"T";"Other";82;56;0,24
"1070";"PS4";"2014";"Action";"T";"Other";76;31;0,24
"1071";"3DS";"2011";"Simulation";"T";"Namco";71;37;0,24
"1072";"PSV";"2011";"Action";"T";"Other";67;35;0,24
"1073";"PC";"2011";"Shooter";"M";"Other";70;36;0,24
"1074";"X360";"2011";"Action";"T";"Other";58;22;0,24
"1075";"PC";"2015";"Strategy";"T";"Other";80;66;0,24
"1076";"X360";"2012";"Action";"T";"Other";71;54;0,24
"1077";"PC";"2010";"Shooter";"M";"Other";81;40;0,24
"1078";"X360";"2011";"Action";"E10+";"Ubisoft";63;35;0,24
"1079";"3DS";"2015";"Role-Playing";"E10+";"Other";77;44;0,24
"1080";"XOne";"2013";"Misc";"E";"Other";73;5;0,24
"1081";"X360";"2011";"Misc";"T";"Other";53;31;0,24
"1082";"Wii";"2010";"Action";"T";"Activision";75;13;0,24
"1083";"PS3";"2011";"Action";"T";"Activision";50;33;0,24
"1084";"PS3";"2012";"Adventure";"M";"Other";65;16;0,24
"1085";"PS4";"2013";"Sports";"E";"Electronic Arts";43;25;0,24
"1086";"PS3";"2012";"Role-Playing";"M";"Other";53;14;0,24
"1087";"X360";"2011";"Action";"T";"Activision";47;51;0,24
"1088";"X360";"2011";"Misc";"E";"Other";53;4;0,24
"1089";"X360";"2013";"Action";"E";"Other";80;23;0,24
"1090";"PS3";"2011";"Misc";"E";"Other";62;4;0,24
"1091";"PS3";"2010";"Sports";"E";"Ubisoft";46;12;0,24
"1092";"Wii";"2010";"Platform";"E";"Other";56;4;0,24
"1093";"PS3";"2010";"Role-Playing";"M";"Other";61;27;0,24
"1094";"PS3";"2012";"Simulation";"T";"Other";73;27;0,23
"1095";"PC";"2011";"Role-Playing";"T";"Other";72;27;0,23
"1096";"Wii";"2010";"Action";"T";"Ubisoft";77;24;0,23
"1097";"PS4";"2014";"Sports";"E";"Electronic Arts";59;24;0,23
"1098";"PS3";"2013";"Action";"T";"Other";64;35;0,23
"1099";"PSV";"2012";"Misc";"T";"Other";81;10;0,23
"1100";"PSV";"2013";"Role-Playing";"T";"Other";77;20;0,23
"1101";"X360";"2011";"Sports";"E";"Other";70;37;0,23
"1102";"X360";"2012";"Racing";"E10+";"Other";75;53;0,23
"1103";"Wii";"2010";"Action";"T";"Other";58;21;0,23
"1104";"PS3";"2012";"Sports";"E";"Electronic Arts";73;36;0,23
"1105";"PS3";"2011";"Misc";"E";"Other";66;25;0,23
"1106";"PC";"2015";"Shooter";"M";"Ubisoft";79;37;0,23
"1107";"Wii";"2010";"Racing";"E";"Other";74;17;0,23
"1108";"3DS";"2011";"Fighting";"T";"Other";71;12;0,23
"1109";"PS4";"2015";"Action";"T";"Activision";77;50;0,23
"1110";"PSV";"2014";"Action";"T";"Other";82;5;0,23
"1111";"PS3";"2011";"Role-Playing";"E10+";"Other";55;12;0,23
"1112";"PSV";"2012";"Misc";"E";"Ubisoft";83;65;0,23
"1113";"Wii";"2010";"Sports";"E";"Other";41;7;0,23
"1114";"PC";"2012";"Shooter";"M";"Take-Two";76;16;0,23
"1115";"PS3";"2013";"Action";"M";"Other";64;39;0,23
"1116";"X360";"2014";"Racing";"E";"Other";64;14;0,23
"1117";"Wii";"2010";"Sports";"E";"Other";78;9;0,22
"1118";"PC";"2012";"Role-Playing";"M";"Other";69;51;0,22
"1119";"PSV";"2014";"Action";"M";"Other";82;24;0,22
"1120";"Wii";"2011";"Racing";"E";"Activision";42;5;0,22
"1121";"PS3";"2011";"Action";"T";"Activision";58;43;0,22
"1122";"PS4";"2015";"Racing";"E";"Other";66;30;0,22
"1123";"3DS";"2012";"Adventure";"T";"Other";54;35;0,22
"1124";"3DS";"2011";"Platform";"T";"Other";69;33;0,22
"1125";"PS3";"2012";"Role-Playing";"M";"Other";47;13;0,22
"1126";"PS3";"2010";"Racing";"E";"Other";70;42;0,22
"1127";"PC";"2015";"Simulation";"T";"Electronic Arts";72;16;0,22
"1128";"PS3";"2011";"Shooter";"E10+";"Ubisoft";81;21;0,22
"1129";"Wii";"2010";"Action";"E10+";"Other";46;4;0,22
"1130";"Wii";"2010";"Strategy";"E10+";"Other";58;13;0,22
"1131";"PSV";"2011";"Action";"E10+";"Ubisoft";49;33;0,22
"1132";"XOne";"2014";"Role-Playing";"M";"Other";71;13;0,22
"1133";"PC";"2012";"Action";"E10+";"Other";80;6;0,22
"1134";"3DS";"2014";"Action";"M";"Other";58;28;0,22
"1135";"X360";"2014";"Fighting";"T";"Namco";62;11;0,22
"1136";"PC";"2011";"Action";"M";"Other";80;24;0,22
"1137";"X360";"2011";"Action";"M";"Other";61;59;0,22
"1138";"PS4";"2013";"Strategy";"E";"Activision";47;5;0,21
"1139";"X360";"2012";"Simulation";"T";"Namco";68;37;0,21
"1140";"3DS";"2015";"Strategy";"T";"Other";69;69;0,21
"1141";"X360";"2013";"Shooter";"M";"Take-Two";68;30;0,21
"1142";"PS3";"2012";"Adventure";"E";"Other";92;78;0,21
"1143";"PS3";"2010";"Racing";"E10+";"Other";73;4;0,21
"1144";"PS3";"2013";"Role-Playing";"T";"Other";74;37;0,21
"1145";"PC";"2015";"Action";"M";"Ubisoft";74;14;0,21
"1146";"PSV";"2014";"Action";"M";"Other";72;35;0,21
"1147";"Wii";"2011";"Action";"E";"Other";79;9;0,21
"1148";"PS4";"2014";"Adventure";"M";"Other";83;6;0,21
"1149";"3DS";"2012";"Role-Playing";"T";"Other";69;53;0,21
"1150";"XOne";"2014";"Sports";"E";"Electronic Arts";53;9;0,21
"1151";"PS3";"2013";"Action";"M";"Other";71;20;0,21
"1152";"PSV";"2014";"Fighting";"T";"Namco";74;5;0,21
"1153";"PS3";"2011";"Platform";"E10+";"Other";74;50;0,21
"1154";"X360";"2010";"Action";"T";"Other";40;37;0,21
"1155";"Wii";"2011";"Misc";"T";"Other";81;5;0,21
"1156";"Wii";"2010";"Action";"T";"Other";53;4;0,21
"1157";"PC";"2013";"Shooter";"M";"Other";64;40;0,21
"1158";"X360";"2011";"Misc";"T";"Other";82;23;0,21
"1159";"PS4";"2015";"Sports";"T";"Activision";32;43;0,21
"1160";"3DS";"2011";"Action";"E";"Other";54;11;0,21
"1161";"X360";"2010";"Shooter";"M";"Namco";61;64;0,21
"1162";"PS3";"2013";"Shooter";"T";"Other";61;30;0,21
"1163";"PSV";"2014";"Action";"M";"Other";73;28;0,2
"1164";"PS3";"2012";"Action";"M";"Other";71;35;0,2
"1165";"X360";"2013";"Shooter";"M";"Other";52;33;0,2
"1166";"PC";"2011";"Shooter";"M";"Other";74;34;0,2
"1167";"PS3";"2013";"Role-Playing";"T";"Other";53;44;0,2
"1168";"3DS";"2012";"Action";"T";"Other";67;38;0,2
"1169";"PS3";"2011";"Sports";"E";"Take-Two";72;13;0,2
"1170";"PC";"2015";"Sports";"E";"Electronic Arts";81;10;0,2
"1171";"XOne";"2013";"Sports";"E";"Electronic Arts";36;14;0,2
"1172";"PS3";"2010";"Action";"E10+";"Other";36;45;0,2
"1173";"X360";"2010";"Simulation";"T";"Other";63;33;0,2
"1174";"X360";"2010";"Misc";"E";"Namco";57;33;0,2
"1175";"PC";"2011";"Role-Playing";"M";"Other";76;31;0,2
"1176";"PS3";"2013";"Role-Playing";"T";"Other";86;12;0,2
"1177";"3DS";"2012";"Fighting";"T";"Other";64;42;0,2
"1178";"X360";"2010";"Shooter";"T";"Other";58;52;0,2
"1179";"PS3";"2010";"Simulation";"T";"Activision";66;17;0,2
"1180";"PC";"2015";"Action";"M";"Other";75;40;0,2
"1181";"X360";"2012";"Simulation";"M";"Other";75;21;0,2
"1182";"PS3";"2011";"Shooter";"T";"Other";63;28;0,2
"1183";"PSV";"2012";"Action";"T";"Ubisoft";49;34;0,2
"1184";"PSV";"2012";"Action";"M";"Other";58;57;0,2
"1185";"PS3";"2011";"Strategy";"E10+";"Other";85;8;0,2
"1186";"PS3";"2011";"Fighting";"T";"Other";73;10;0,2
"1187";"PS3";"2014";"Action";"M";"Other";63;55;0,2
"1188";"PS3";"2011";"Action";"M";"Other";58;25;0,19
"1189";"PS3";"2012";"Sports";"E";"Take-Two";68;8;0,19
"1190";"PS3";"2011";"Sports";"E";"Other";65;8;0,19
"1191";"PS3";"2010";"Action";"M";"Other";72;38;0,19
"1192";"PC";"2010";"Shooter";"M";"Other";68;35;0,19
"1193";"PS3";"2011";"Action";"T";"Other";61;34;0,19
"1194";"PS4";"2014";"Role-Playing";"M";"Other";53;40;0,19
"1195";"X360";"2010";"Misc";"E10+";"Other";63;30;0,19
"1196";"XOne";"2013";"Fighting";"T";"Ubisoft";23;39;0,19
"1197";"PS3";"2010";"Platform";"E10+";"Activision";57;11;0,19
"1198";"3DS";"2011";"Action";"E10+";"Electronic Arts";65;9;0,19
"1199";"PC";"2010";"Strategy";"E10+";"Other";77;54;0,19
"1200";"PS3";"2010";"Shooter";"M";"Other";43;34;0,19
"1201";"PS4";"2014";"Action";"T";"Other";63;30;0,19
"1202";"3DS";"2011";"Misc";"E";"Other";64;8;0,19
"1203";"X360";"2010";"Adventure";"T";"Namco";74;46;0,19
"1204";"X360";"2012";"Action";"M";"Other";69;17;0,19
"1205";"PC";"2014";"Role-Playing";"M";"Ubisoft";85;48;0,19
"1206";"PSV";"2012";"Sports";"E";"Other";76;15;0,19
"1207";"PC";"2010";"Action";"E";"Take-Two";82;6;0,19
"1208";"Wii";"2011";"Fighting";"T";"Other";68;11;0,19
"1209";"PC";"2013";"Action";"M";"Other";82;71;0,19
"1210";"PC";"2015";"Shooter";"M";"Take-Two";77;39;0,19
"1211";"Wii";"2010";"Misc";"E";"Namco";53;12;0,19
"1212";"PSV";"2012";"Fighting";"T";"Other";79;25;0,19
"1213";"PSV";"2014";"Role-Playing";"T";"Other";80;23;0,19
"1214";"PS3";"2010";"Simulation";"E10+";"Other";60;5;0,19
"1215";"PC";"2013";"Action";"M";"Ubisoft";82;13;0,19
"1216";"PS3";"2010";"Sports";"T";"Ubisoft";61;26;0,19
"1217";"3DS";"2011";"Sports";"E";"Other";57;5;0,19
"1218";"X360";"2012";"Action";"M";"Other";74;43;0,19
"1219";"PC";"2011";"Racing";"E";"Other";83;10;0,19
"1220";"PS3";"2011";"Simulation";"T";"Other";51;8;0,19
"1221";"X360";"2011";"Shooter";"T";"Other";68;40;0,19
"1222";"PS3";"2010";"Sports";"E";"Take-Two";74;19;0,19
"1223";"PC";"2013";"Action";"M";"Other";86;45;0,19
"1224";"XOne";"2014";"Misc";"T";"Other";74;19;0,19
"1225";"PS3";"2011";"Action";"M";"Other";44;22;0,19
"1226";"PC";"2010";"Role-Playing";"T";"Other";63;25;0,19
"1227";"PC";"2011";"Action";"M";"Other";66;21;0,19
"1228";"X360";"2010";"Racing";"E10+";"Other";74;13;0,19
